acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
ECE 145C,Communication Electronics III,Electrical Computer Engineering - ECE,engineering,ECE 145B with a minimum grade of C-.,23,14,0.6086956521739131,145
ECE 146B,COMMUNICATION SYSTEMS DESIGN,Electrical Computer Engineering - ECE,engineering,ECE 130A-B and 146A with minimum grades of C-; open to EE majors only.,69,40,0.5797101449275363,146
ECE 147C,Control System Design Project,Electrical Computer Engineering - ECE,engineering,ECE 147A or ME 155B or ME 173 with a minimum grade of C-.,68,63,0.9264705882352942,147
ECE 148,Applications of Signal Analysis and Processing,Electrical Computer Engineering - ECE,engineering,ECE 130A and 130B with a minimum grade of C- in both.,237,159,0.6708860759493671,148
ECE 152A,Digital Design Principles,Electrical Computer Engineering - ECE,engineering,"ECE 15A and ECE 2A or ECE 10A & ECE 10AL with a minimum grade of C- in each course; or Computer Science 30 or 64 with a minimum grade of C- in each course; open to electrical engineering, computer engineering, and computer science majors only.",2108,682,0.3235294117647059,152
ECE 160,Multimedia Systems,Electrical Computer Engineering - ECE,engineering,"Upper-division standing; open to electrical engineering, computer engineering, computer science, and creative studies majors only.",631,269,0.42630744849445323,160
ECE 162C,Optoelectronic Materials and Devices,Electrical Computer Engineering - ECE,engineering,ECE 162A-B with a minimum grade of C-; open to electrical engineering and materials majors only.,52,39,0.75,162
ECE 183,Nonlinear Phenomena,Electrical Computer Engineering - ECE,engineering,Physics 105A or Physics 103; or ME 163 or upper-division standing in ECE.,103,51,0.49514563106796117,183
ECE 188C,Senior Electrical Engineering Project,Electrical Computer Engineering - ECE,engineering,ECE 188B with a minimum grade of C-.,569,491,0.8629173989455184,188
ECE 189C,Senior Computer Systems Project,Electrical Computer Engineering - ECE,engineering,"ECE 189B; senior standing in Computer Engineering, Computer Science, or EE.",173,136,0.7861271676300579,189
ECE 194E,Group Studies in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,50,32,0.64,194
ECE 194N,Special Topics in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,65,44,0.676923076923077,194
ECE 194P,Special Topics in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,15,13,0.8666666666666667,194
ECE 194U,Group Studies in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,42,40,0.9523809523809523,194
ENGR 195C,Multidisciplinary Capstone Design,Engineering Sciences - ENGR,engineering,Engineering 195B,151,139,0.9205298013245033,195
ENGL 10S,Seminar for Introduction to Literature,English - ENGL,letters_and_science,Concurrent enrollment in English 10; consent of instructor.,198,191,0.9646464646464646,10
ENGL 24,"Introduction to Literature and the Environment, Part 2, World Perspectives",English - ENGL,letters_and_science,"",1610,626,0.38881987577639754,24
ENGL 24S,Seminar on World Perspectives,English - ENGL,letters_and_science,Concurrent enrollment in English 24; consent of instructor.,34,34,1,24
ENGL 25,"Literature and the Information, Media, and Communication Revolutions",English - ENGL,letters_and_science,"",969,341,0.35190918472652216,25
ENGL 25S,Seminar on Literature and the Culture of Information,English - ENGL,letters_and_science,Concurrent enrollment in English 25; consent of instructor.,18,18,1,25
ENGL 50,Introduction to Comparative Ethnic Literatures,English - ENGL,letters_and_science,"",4337,2379,0.5485358542771501,50
ENGL 101,English Literature from the Medieval Period to 1650,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,3282,1348,0.41072516758074346,101
ENGL 101S,Seminar on English Literature from the Medieval Period to 1650,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,99,95,0.9595959595959596,101
ENGL 104A,American Literature from 1900 to Present,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,3019,1473,0.4879099039417025,104
ENGL 104AS,Seminar on American Literature from 1900 to Present,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,120,117,0.975,104
ENGL 120,How to Read a Poem,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,14,11,0.7857142857142857,120
ENGL 122CS,Cosmopolitan Modernisms / Global Modernities,English - ENGL,letters_and_science,Writing 2 upper-division standing.,180,126,0.7,122
ENGL 122RC,Reading the Caribbean through Carnival,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,26,18,0.6923076923076923,122
ENGL 134AD,Asian American Literature,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,42,28,0.6666666666666666,134
ENGL 134CR,Post-Civil Rights African American Literature,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,37,16,0.43243243243243246,134
ENGL 134RJ,Creative Imagination of Racial Justice,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,70,33,0.4714285714285714,134
ENGL 150,Anglo-Irish Literature,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,1663,712,0.4281419122068551,150
ENGL 150S,Anglo-Irish Literature Seminar,English - ENGL,letters_and_science,Writing 2 or 50 or equivalents; concurrent enrollment in English 150; upper-division standing; consent of instructor.,72,72,1,150
ENGL 165AE,The Graphic Novel: Animals and Ecology,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,72,39,0.5416666666666666,165
ENGL 165PP,Poetry and Painting,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,108,80,0.7407407407407407,165
ENGL 179,British Romantic-Era Writers,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or equivalents.,395,212,0.5367088607594936,179
ENGL 185,European Modernism,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,128,71,0.5546875,185
ENGL 192FE,Fantasy and Ecology,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,288,214,0.7430555555555556,192
ENGL 198H,Honors English Senior Thesis Preparation,English - ENGL,letters_and_science,Writing 2 or upper-division standing; consent of department.,143,139,0.972027972027972,198
ENV S 3,Introduction to the Social and Cultural Environment,Environmental Studies - ENV S,letters_and_science,"",10288,4865,0.4728810264385692,3
ENV S 3H,Introduction to the Social and Cultural Environment - Honors,Environmental Studies - ENV S,letters_and_science,Concurrent enrollment in ENV S 3; Consent of instructor.,339,336,0.9911504424778761,3
ENV S 15B,Environmental Chemistry 2,Environmental Studies - ENV S,letters_and_science,Environmental Studies 15A.,999,334,0.33433433433433435,15
ENV S 15BL,Environmental Chemistry Lab,Environmental Studies - ENV S,letters_and_science,Environmental Studies 15A and 15B (Env. St. 15BL may be taken concurrently with Env. St. 15B),999,747,0.7477477477477478,15
ENV S 25,Quantitative Thinking in Environmental Studies,Environmental Studies - ENV S,letters_and_science,"",1333,536,0.4021005251312828,25
ENV S 60,Applied Ecology,Environmental Studies - ENV S,letters_and_science,"",555,464,0.836036036036036,60
ENV S 103A,Flora and Vegetation of California,Environmental Studies - ENV S,letters_and_science,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",75,39,0.52,103
ENV S 105,Renewable Energy Systems,Environmental Studies - ENV S,letters_and_science,"Upper-division standing; Mathematics 2B, or 3B, or 34B, or Mathematics 34A and Environmental Studies 25.",1811,506,0.2794036443953617,105
ENV S 111,The California Channel Islands,Environmental Studies - ENV S,letters_and_science,MCDB 1A-1AL and EEMB 2; or MCDB 20 or EEMB 22 or Geography 3A or 3B or Earth Science 2 or Environmental Studies 2.,1206,511,0.42371475953565507,111
ENV S 117,Transition to a Low Carbon Society,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,1196,584,0.4882943143812709,117
ENV S 121,Contaminants of Emerging Concern,Environmental Studies - ENV S,letters_and_science,Environmental Studies 120 or 120A.,86,47,0.5465116279069767,121
ENV SW 125B,Climate Change Law and Policy,Environmental Studies - ENV S,letters_and_science,Environmental Studies 1 or 2 or 3; and Environmental Studies 40.,74,43,0.581081081081081,125
ENV S 127B,Advanced Environmental Education and Practicum,Environmental Studies - ENV S,letters_and_science,Environmental Studies 127A.,127,115,0.905511811023622,127
ENV S 128,Foundations of Ecosystem Restoration,Environmental Studies - ENV S,letters_and_science,Environmental Studies 100 or EEMB 120 or EEMB 168.,546,212,0.3882783882783883,128
ENV S 134,Coastal Processes and Management,Environmental Studies - ENV S,letters_and_science,Environmental Studies 2; Mathematics 3A or 34A or Environmental Studies 25; Geology 1 or 2 or 4 or 20 or Geography 3A or 3B.,793,353,0.4451450189155107,134
ENV S 135B,Advanced Environmental Planning,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,490,309,0.6306122448979592,135
ENV S 136,Green Works - Exploring Technology and the Search for Sustainability,Environmental Studies - ENV S,letters_and_science,Consent of instructor.,97,18,0.18556701030927836,136
ENV S 194TK,Traditional Ecological Knowledge Studies,Environmental Studies - ENV S,letters_and_science,Upper-division status and consent of instructor.,,,,194
ENV S 155,The Built World: Infrastructure and Environmental Change,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,435,315,0.7241379310344828,155
ENV S 162,Environmental Water Quality,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,249,72,0.2891566265060241,162
ENV S 167,Biogeography: The Study of Plant and Animal Distributions,Environmental Studies - ENV S,letters_and_science,Geography 3A or 3B or Environmental Studies 2 or EEMB 2 or Earth Science 2.,91,52,0.5714285714285714,167
ENV S 168,Aqueous Transport of Pollutants,Environmental Studies - ENV S,letters_and_science,Mathematics 3B and Chemistry 1A-B-C.,141,37,0.2624113475177305,168
ENV S 176,Energy Politics and Policy,Environmental Studies - ENV S,letters_and_science,Environmental Studies 1 or 3 or Political Science 6 or 12.,192,71,0.3697916666666667,176
ENV S 182,Seminar in Community and Personal Resilience,Environmental Studies - ENV S,letters_and_science,Not Open to Freshmen.,127,113,0.889763779527559,182
ENV S 186,"Development, Displacement, and Environmental Justice",Environmental Studies - ENV S,letters_and_science,Upper-division standing required.,150,127,0.8466666666666667,186
ENV S 193CE,"Waste Not: New Perspectives on Reducing, Reusing, and Recycling",Environmental Studies - ENV S,letters_and_science,Upper-division standing.,170,85,0.5,193
ENV S 193CP,Conservation Planning,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,275,242,0.88,193
ENV S 193EB,Ethnobotany and Economic Botany: Human Uses of Plant,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,165,107,0.6484848484848484,193
ENV S 193TK,Traditional Ecological Knowledge: Honoring All Our Relations,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,145,73,0.503448275862069,193
ENV S 193WL,Wild Literature in the Urban Landscape,Environmental Studies - ENV S,letters_and_science,Upper-division standing.,73,66,0.9041095890410958,193
ENV S 195C,Environmental Leadership Incubator Project,Environmental Studies - ENV S,letters_and_science,Environmental Studies 195B,51,49,0.9607843137254902,195
ESS 2,Substance Use & Sport Nutrition,Exercise & Sport Studies - ESS,letters_and_science,"",3417,1307,0.38249926836406206,2
ESS W 3,Nutrition for Health,Exercise & Sport Studies - ESS,letters_and_science,"",1232,543,0.4407467532467532,3
ESS 150,Care and Prevention of Athletic Injuries,Exercise & Sport Studies - ESS,letters_and_science,Upper-division standing.,1070,498,0.4654205607476635,150
FEMST 50,Global Feminisms and Social Justice,Feminist Studies - FEMST,letters_and_science,"",1352,760,0.5621301775147929,50
FEMST 142,Black Women Filmmakers,Feminist Studies - FEMST,letters_and_science,"",330,184,0.5575757575757576,142
FEMST 144,Representation and Activism,Feminist Studies - FEMST,letters_and_science,Upper-division standing.,249,181,0.7269076305220884,144
FEMST 150,"Sex, Love, and Romance",Feminist Studies - FEMST,letters_and_science,"",3845,2384,0.6200260078023407,150
FEMST 151AA,Sexual Cultures,Feminist Studies - FEMST,letters_and_science,Upper-division standing.,59,48,0.8135593220338984,151
FEMST 162,Queer Theory,Feminist Studies - FEMST,letters_and_science,FEMST 80 or instructor approval.,373,271,0.7265415549597856,162
FEMST 163,Trans Studies,Feminist Studies - FEMST,letters_and_science,Feminist Studies 80,53,49,0.9245283018867925,163
FEMST 183,Feminist ACTion Lab: Antiracist Critical Theorizing-in-Action,Feminist Studies - FEMST,letters_and_science,Upper-division standing; open to Feminist Studies majors and minors and LGBTQ Studies Minors only.,41,36,0.8780487804878049,183
FEMST 186AA,Gender and Society,Feminist Studies - FEMST,letters_and_science,Upper-division standing.,26,20,0.7692307692307693,186
FEMST 195HC,Senior Honors Project,Feminist Studies - FEMST,letters_and_science,Feminist Studies 195HA or 195HB; upper-division standing.,30,27,0.9,195
FAMST 46,Introduction to Cinema,Film and Media Studies - FAMST,letters_and_science,"",4164,1153,0.27689721421709895,46
FAMST 46H,Introduction to Cinema - Honors,Film and Media Studies - FAMST,letters_and_science,Must be taken concurrently with Film and Media Studies 46.,69,65,0.9420289855072463,46
FAMST 46MS,Major Seminar,Film and Media Studies - FAMST,letters_and_science,Concurrent enrollment in Film and Media Studies 46.,127,74,0.5826771653543307,46
FAMST 54,Hollywood: Anatomy of an Industry,Film and Media Studies - FAMST,letters_and_science,"",2895,2468,0.8525043177892919,54
FAMST 96,Advanced Film Analysis,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 and 70 with a minimum grade of C.,1769,383,0.21650650084793668,96
FAMST 101E,History of Electronic Media: Network TV to the Digital Era,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 and 70 with a minimum grade of C or better.,839,203,0.24195470798569726,101
FAMST 101F,Film History:International Cinema from 1989-Present,Film and Media Studies - FAMST,letters_and_science,FAMST 96 with a grade of C or better.,103,50,0.4854368932038835,101
FAMST 109EA,Special Topics in Film Production: Impact Media,Film and Media Studies - FAMST,letters_and_science,"Film Studies 46; and, consent of instructor.",59,40,0.6779661016949152,109
FAMST 109GA,Special Topics in Film Production,Film and Media Studies - FAMST,letters_and_science,"Film Studies 46; and, consent of instructor.",113,85,0.7522123893805309,109
FAMST 113SW,Special Topics in Film and Media Studies,Film and Media Studies - FAMST,letters_and_science,Film Studies 46 or upper-division standing.,77,70,0.9090909090909091,113
FAMST 118GS,Green Screen,Film and Media Studies - FAMST,letters_and_science,Instructor Approval Required,47,36,0.7659574468085106,118
FAMST 118LP,Launch Pad,Film and Media Studies - FAMST,letters_and_science,Upper-division standing.,50,32,0.64,118
FAMST 122IT,Topics in National Cinema,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 or upper-division standing.,117,36,0.3076923076923077,122
FAMST 154PG,Topics in Film and Popular Culture,Film and Media Studies - FAMST,letters_and_science,FAMST 46 or 70 or junior status or consent of instructor.,359,307,0.8551532033426184,154
FAMST 166TS,"Special Topics in Cultural Studies: Media, Technology and Society",Film and Media Studies - FAMST,letters_and_science,Film Studies 46.,87,24,0.27586206896551724,166
FAMST 184,Film Music,Film and Media Studies - FAMST,letters_and_science,Film Studies 46 or upper-division standing.,145,93,0.6413793103448275,184
FAMST 187LA,Topics in Film and Television Analysis: Latin American Cinema,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",15,11,0.7333333333333333,187
GREEK 162,Herodotus,Greek - GREEK,letters_and_science,Greek 102 or equivalent.,,,,162
FAMST 187RA,Topics in Film and Television Analysis: Reviving Analog Media,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",21,12,0.5714285714285714,187
FAMST 187SD,Topics in Film and Television Analysis: Screendance,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",34,23,0.6764705882352942,187
FAMST 188A,Basic Screenwriting,Film and Media Studies - FAMST,letters_and_science,"Consent of instructor, writing sample, upper-division standing.",614,428,0.6970684039087948,188
FAMST 189FT,Topics in Contemporary Media Theory: FemTech Lab,Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 or 70,64,48,0.75,189
FAMST 189SM,"Topics in Contemporary Media Theory: Sound, Media, and Society",Film and Media Studies - FAMST,letters_and_science,Film and Media Studies 46 or 70,76,34,0.4473684210526316,189
FAMST 192CT,Topics in Film and Media Theory: Cultural Thory,Film and Media Studies - FAMST,letters_and_science,Film and Media 96 with a grade of C or better.,1037,332,0.3201542912246866,192
FR 6GS,Intermediate French for Global Studies and Political Science,French - FR,letters_and_science,French 5 or equivalent.,165,92,0.5575757575757576,6
FR 11B,French for Graduate Students,French - FR,letters_and_science,French 11A or consent of instructor.,243,212,0.8724279835390947,11
FR 101C,Foundations of French and Francophone Culture,French - FR,letters_and_science,French 100 or French 26 or equivalent.,438,255,0.5821917808219178,101
FR 147D,Literary Translation: Theory and Practice,French - FR,letters_and_science,French 100.,101,72,0.7128712871287128,147
FR 149F,Littiratures de la Francophonie,French - FR,letters_and_science,One course from French 101A-B-C and one course from 104A-B-C-D.,24,12,0.5,149
FR 154L,Globalization and Development in the Francosphere,French - FR,letters_and_science,Upper division standing.,42,23,0.5476190476190477,154
FR 197,Senior Seminar,French - FR,letters_and_science,Senior standing or 6 upper division courses in French.,120,88,0.7333333333333333,197
GEOG 4,"Land, Water and Life",Geography - GEOG,letters_and_science,"",1506,656,0.4355909694555113,4
GEOG 6,"Sex, Drugs, & Geography",Geography - GEOG,letters_and_science,"",472,154,0.326271186440678,6
GEOG 111C,Smart Green Cities,Geography - GEOG,letters_and_science,Upper-division standing or consent of instructor.,206,181,0.8786407766990292,111
GEOG 115C,Remote Sensing of the Environment 3,Geography - GEOG,letters_and_science,Geography 115B with a minimum grade of C.,340,279,0.8205882352941176,115
GEOG 117,Scientific Research Methods in Geography,Geography - GEOG,letters_and_science,"Geography 5; and, Geography 3 or 3A or 3B or 4.",167,24,0.1437125748502994,117
GEOG 137,Quantitative Geomorphology,Geography - GEOG,letters_and_science,"Geography 3B; or, Earth Science 2",98,50,0.5102040816326531,137
GEOG 149,The California Channel Islands,Geography - GEOG,letters_and_science,MCDB 1A-1AL and EEMB 2; or MCDB 20 or EEMB 20 or Geography 3A or 3B or Earth Science 2 or Environmental Studies 2.,892,299,0.3352017937219731,149
GEOG 155,Geography of Latin America,Geography - GEOG,letters_and_science,Geography 5 or Global Studies 1 or 2 or Environmental Studies 1 or 2 or 3.,267,115,0.4307116104868914,155
GEOG 160,Ocean Remote Sensing,Geography - GEOG,letters_and_science,GEOG 115A,25,10,0.4,160
GEOG 162,Environmental Water Quality,Geography - GEOG,letters_and_science,Upper-division standing.,267,58,0.21722846441947566,162
GEOG 166,Ocean Carbon Cycle and Climate,Geography - GEOG,letters_and_science,CHEM 1A and GEOG 104,28,19,0.6785714285714286,166
GEOG 167,Biogeography: The Study of Plant and Animal Distributions,Geography - GEOG,letters_and_science,Geography 3A or 3B or Environmental Studies 2 or EEMB 2 or Earth Science 2.,103,43,0.4174757281553398,167
GEOG 176C,GIS Design and Applications,Geography - GEOG,letters_and_science,Geography 176B with a minimum grade of C.,599,403,0.672787979966611,176
GER 2G,Introduction to Reading German (for Graduate Students),German - GER,letters_and_science,Graduate standing.,118,106,0.8983050847457628,2
GER 3,Elementary German,German - GER,letters_and_science,Grade of P or grade of C or better in German 2. Not open for credit to students who have completed more advanced work in German.,1542,1301,0.8437094682230869,3
GER 6,Intermediate German,German - GER,letters_and_science,Grade of P or grade of C or better in German 5. Not open for credit to students who have completed more advanced work in German.,674,580,0.8605341246290801,6
GER 8C,Beginning German Conversation,German - GER,letters_and_science,German 2.,405,380,0.9382716049382716,8
GER 101C,Advanced German,German - GER,letters_and_science,German 6.,517,459,0.8878143133462283,101
GER 105C,Advanced Conversation,German - GER,letters_and_science,German 5,208,194,0.9326923076923077,105
GER 114,Business German,German - GER,letters_and_science,German 4 or equivalent,251,211,0.8406374501992032,114
GER 177A,"Law, Rights, and Justice",German - GER,letters_and_science,German 6 and German 101A-B-C.,24,21,0.875,177
GER 179C,Mediatechnology,German - GER,letters_and_science,Upper-division standing.,280,154,0.55,179
GER 190,Proseminar,German - GER,letters_and_science,German 6 and German 101A-B-C,132,95,0.7196969696969697,190
GLOBL 153,Global Race and Inequality,Global Studies - GLOBL,letters_and_science,Upper division standing.,80,27,0.3375,153
GLOBL 161,Global Environmental Policy and Politics,Global Studies - GLOBL,letters_and_science,"",1054,450,0.4269449715370019,161
GLOBL 163,Global Cultures from 17th C to Present,Global Studies - GLOBL,letters_and_science,"",195,137,0.7025641025641025,163
GLOBL 174,Global Perspectives on Environment and Society,Global Studies - GLOBL,letters_and_science,Upper-division standing.,320,101,0.315625,174
GLOBL 194,Group Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing; open to Global Studies majors only.,363,359,0.9889807162534435,194
GLOBL 195,Seminar in Global and International Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing; open to Global Studies majors only.,34,19,0.5588235294117647,195
GLOBL 197A,Special Topics in Global and International Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing.,25,18,0.72,197
GREEK 3,Intermediate Greek,Greek - GREEK,letters_and_science,Greek 2 with a grade of C or better.,91,53,0.5824175824175825,3
INT 199D,Dean's Supervised Independent Study,Interdisciplinary - INT,letters_and_science,"",,,,199
ITAL 138F,Futurism,Italian - ITAL,letters_and_science,Italian 6 or equivalent.,,,,138
JAPAN 99,Independent Study in Japanese,Japanese - JAPAN,letters_and_science,minimum 3.0 cumulative GPA,,,,99
GREEK 10B,Intermediate Modern Greek,Greek - GREEK,letters_and_science,Greek 10A,30,29,0.9666666666666667,10
HIST 2C,World History,History - HIST,letters_and_science,"",9586,3920,0.40892968912998123,2
HIST 2CH,World History - Honors,History - HIST,letters_and_science,Concurrent enrollment in HIST 2C; consent of instructor; honors standing.,53,52,0.9811320754716981,2
HIST 17C,The American People,History - HIST,letters_and_science,"",7886,3324,0.4215064671569871,17
HIST 20,Science and the Modern World,History - HIST,letters_and_science,"",1224,600,0.49019607843137253,20
HIST 46A,The Middle East from Muhammad to the Nineteenth Century,History - HIST,letters_and_science,"",286,173,0.6048951048951049,46
HIST 46MI,Modern Iran and Global Politics,History - HIST,letters_and_science,"",229,130,0.5676855895196506,46
HIST 49B,Survey of African History,History - HIST,letters_and_science,"",661,333,0.5037821482602118,49
HIST 56,Introduction to Mexican History,History - HIST,letters_and_science,"",520,258,0.49615384615384617,56
HIST 101G,Comparative Histories of Same-Sex Practices and Gender Variance,History - HIST,letters_and_science,Previous Course in History or Upper Division Standing,244,146,0.5983606557377049,101
HIST 111R,Undergraduate Research Seminar in Greek History,History - HIST,letters_and_science,"At least one class from 111 series (111A,B,C,E,F,T), or permission of instructor.",42,21,0.5,111
HIST 112E,The History of Roman Law,History - HIST,letters_and_science,HIST 2A or Upper Division Standing,45,29,0.6444444444444445,112
HIST 123C,Europe Since Hitler,History - HIST,letters_and_science,History 2C or 4C or upper-division standing.,467,188,0.4025695931477516,123
HIST 144J,Race and Juvenile Justice in U.S. History,History - HIST,letters_and_science,Upper Division Standing,97,35,0.36082474226804123,144
HIST 146,History of the Modern Middle East,History - HIST,letters_and_science,History 46 or upper-division standing.,393,203,0.5165394402035624,146
HIST 148PL,Politics and Leisure in Africa,History - HIST,letters_and_science,A previous course in History or upper division standing.,102,49,0.4803921568627451,148
HIST 149BF,"Black Freedom, African Justice: Race, Religion, & Revolution in the Atlantic World, 1770-1865",History - HIST,letters_and_science,Upper Division Standing,42,26,0.6190476190476191,149
HIST 167Q,Labor Studies Internship Research Seminar,History - HIST,letters_and_science,Upper division standing,184,112,0.6086956521739131,167
HIST 168CR,Undergraduate Research Seminar in Chicano History,History - HIST,letters_and_science,History 168A or 168B or CH ST 168A or CH ST 168B and upper division standing.,51,37,0.7254901960784313,168
HIST 169B,African American History,History - HIST,letters_and_science,"ANY LOWER-DIVISION COURSE IN HISTORY OR BLACK STUDIES, OR UPPER-DIVISION STANDING.",49,39,0.7959183673469388,169
HIST 171D,The United States and the World Since 1945,History - HIST,letters_and_science,a previous history course or upper division standing.,822,434,0.5279805352798054,171
HIST 171R,Undergraduate Research Seminar in American Diplomacy and Politics,History - HIST,letters_and_science,History 17C or 166C or 171C or 171D or 171ME and upper division standing,31,19,0.6129032258064516,171
HIST 178A,American Urban History,History - HIST,letters_and_science,Any two quarters of History 17A-B-C or upper-division standing.,118,88,0.7457627118644068,178
HIST 184R,Undergraduate Research Seminar in Early Chinese History,History - HIST,letters_and_science,"Upper Division Standing, History 80 or EACS 80 or History 184A or History 184B or Chinese 184A or Chinese 184B.",49,27,0.5510204081632653,184
HIST 187B,Modern Japan,History - HIST,letters_and_science,History 2A or 2B or 2C or 9 or 87 or upper-division standing.,333,148,0.4444444444444444,187
HIST 193F,Food in World History,History - HIST,letters_and_science,A prior course in history.,1433,623,0.43475226796929517,193
HIST 195IB,Senior Thesis - Public Policy,History - HIST,letters_and_science,"Major in History of Public Policy, and completion of junior-year studies; consent of instructor.",25,14,0.56,195
HIST 197LA,Special Topics,History - HIST,letters_and_science,"",73,45,0.6164383561643836,197
INT 84AR,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,75,75,1,84
INT 84BJ,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,72,72,1,84
INT 84BO,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,62,60,0.967741935483871,84
INT 84BS,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,13,13,1,84
INT 84CH,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,58,57,0.9827586206896551,84
INT 84CP,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,18,18,1,84
INT 84ZA,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,71,69,0.971830985915493,84
INT 94GG,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,433,431,0.9953810623556582,94
INT 94HZ,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,340,335,0.9852941176470589,94
HIST 177,History of California,History - HIST,letters_and_science,"",2797,892,0.3189131212012871,177
LAIS 165,"Andean Literature, Music, and Culture",Latin American and Iberian Studies - LAIS,letters_and_science,Spanish 30; and Spanish 100 (may be taken concurrently),,,,165
INT 94QD,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,258,252,0.9767441860465116,94
INT 94QI,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,65,57,0.8769230769230769,94
INT 94VW,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,198,192,0.9696969696969697,94
INT 102,Emerging Adulthood - Transitions,Interdisciplinary - INT,letters_and_science,Upper-division standing.,96,70,0.7291666666666666,102
INT 125,Studying and Supporting University Learning,Interdisciplinary - INT,letters_and_science,Upper-division standing; consent of instructor.,116,116,1,125
INT 137TH,Think Historically: Sources and Methods in the Study of U.S. Slavery,Interdisciplinary - INT,letters_and_science,"Upper-division standing; or, INT 36AA-ZZ.",16,12,0.75,137
INT 175,Health Care Delivery,Interdisciplinary - INT,letters_and_science,Upper division standing.,980,955,0.9744897959183674,175
INT 186AA,Transfer Exploration Seminars,Interdisciplinary - INT,letters_and_science,Upper-division standing.,25,24,0.96,186
INT 186AJ,Transfer Exploration Seminars,Interdisciplinary - INT,letters_and_science,Upper-division standing.,100,96,0.96,186
ITAL 6,Intermediate Italian,Italian - ITAL,letters_and_science,Italian 5.,442,188,0.4253393665158371,6
ITAL 16B,Italian for Spanish Speakers II,Italian - ITAL,letters_and_science,Italian 16A with a grade of P or a grade of C or higher; or ITA1 and ITA2 with one year of college Spanish or 3 years of high school Spanish; or be native or heritage speaker of Spanish.,127,91,0.7165354330708661,16
